05-02-2012 15:30:10.788 INFO  ApplicationManager - Initializing applications: /opt/splunk/etc/apps
05-02-2012 15:30:10.795 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkForwarder
05-02-2012 15:30:10.795 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/gettingstarted
05-02-2012 15:30:10.795 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkforF5Access
05-02-2012 15:30:10.798 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkDeploymentMonitor
05-02-2012 15:30:10.798 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/legacy
05-02-2012 15:30:10.798 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/launcher
05-02-2012 15:30:10.798 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkforF5Security
05-02-2012 15:30:10.798 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkLightForwarder
05-02-2012 15:30:10.798 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/user-prefs
05-02-2012 15:30:10.798 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/splunk_datapreview
05-02-2012 15:30:10.799 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/learned
05-02-2012 15:30:10.799 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/F5
05-02-2012 15:30:10.799 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/sample_app
05-02-2012 15:30:10.799 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/search
05-02-2012 15:30:10.799 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkforF5Networks
05-02-2012 15:30:10.800 INFO  ApplicationManager - Initialized 15 application(s): /opt/splunk/etc/apps
05-02-2012 15:30:10.800 INFO  ApplicationManager - Found 8 application(s) that might have global exports
05-02-2012 15:30:10.847 INFO  dispatchRunner - initing LicenseMgr in search process: nonPro=0
05-02-2012 15:30:10.851 INFO  LicenseMgr - Initing LicenseMgr
05-02-2012 15:30:10.855 INFO  ServerConfig - My GUID is "AE7C28AE-DB29-41C8-9480-4EBC75C88412".
05-02-2012 15:30:10.857 INFO  ServerConfig - My server name is "linux-ahv8.site-bigjava".
05-02-2012 15:30:10.857 INFO  ServerConfig - My hostname is "linux-ahv8.site".
